rent_ceiling,unit_address,housing_services,tenancy_start_date,unit_status,bed,occ
$796.04,1911 10TH ST #E,(no active services),n/a,RENTED - Rented or Available since 3/18/1994,0,-1
n/a,2321 10TH ST #A,"Appliances, Garbage, Laundry Access, Parking, Water",n/a,(~) MISC - Exempt-Misc since 12/22/2016,-1,-1
n/a,2321 10TH ST #B,"Garbage, Laundry Access, Other, Parking, Water",n/a,OOCC - Owner Occupied since 10/18/2016,-1,-1
$641.51,2321 10TH ST #C,"Garbage, Laundry Access, Parking, Water",n/a,RENTED - Rented or Available since 4/1/1987,1,-1
"$1,318.55",2321 10TH ST #D,"Garbage, Laundry Access, Water",11/1/2006,RENTED - Rented or Available,2,1
n/a,2323 10TH ST #E,"Garbage, Laundry Access, Parking",n/a,(~) MISC - Exempt-Misc since 11/1/2009,-1,-1
n/a,2323 10TH ST #F,"Electricity, Garbage, Laundry Access, Parking",n/a,(~) MISC - Exempt-Misc since 11/1/2009,-1,-1
n/a,2323 10TH ST #G,"Appliances, Garbage, Laundry Access",n/a,(~) MISC - Exempt-Misc since 10/1/2009,-1,-1
n/a,2323 10TH ST #H,"Garbage, Laundry Access, Parking",n/a,(~) MISC - Exempt-Misc since 11/1/2009,-1,-1
n/a,2366 CEDAR ST #1,"Garbage, Parking, Water",n/a,"CHSFD - Single family, C-H exempt since 1/1/1999",-1,-1
n/a,2366 CEDAR ST #2,"Garbage, Parking, Water",n/a,"CHSFD - Single family, C-H exempt since 6/3/1997",-1,-1
n/a,2366 CEDAR ST #3,"Garbage, Parking, Water",n/a,OOCC - Owner Occupied since 12/14/1993,-1,-1
n/a,2366 CEDAR ST #4,(no active services),n/a,OOCC - Owner Occupied since 3/19/1991,-1,-1
"$1,570.64",2424 10TH ST #REAR,"Appliances, Garbage, Sewer, Storage, Water",4/15/2003,RENTED - Rented or Available,1,2
n/a,2424 10TH ST #LOWER,(no active services),n/a,SHARED - Owner shares kit/bath since 8/15/2004,-1,-1
n/a,2424 10TH ST #UPPER,(no active services),n/a,OOCC - Owner Occupied since 3/13/1991,-1,-1
"$2,476.95",2343 DWIGHT WAY #1,"Garbage, Water",8/15/2004,RENTED - Rented or Available,1,4
"$3,137.52",2343 DWIGHT WAY #2,"Garbage, Water",6/1/2009,RENTED - Rented or Available,2,4
"$3,049.53",2343 DWIGHT WAY #3,"Appliances, Garbage, Water",6/1/2007,RENTED - Rented or Available,2,4
"$3,108.17",2343 DWIGHT WAY #4,"Appliances, Garbage, Water",5/1/2007,RENTED - Rented or Available,2,4
"$1,973.70",1820 EUCLID AVE #1,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",7/1/2012,RENTED - Rented or Available,1,2
"$1,950.00",1820 EUCLID AVE #2,"Electricity, Garbage, Gas, Water",7/1/2017,RENTED - Rented or Available,0,1
"$1,943.70",1820 EUCLID AVE #3,"Appliances, Electricity, Garbage, Gas, Heat, Water",9/1/2016,RENTED - Rented or Available,0,1
"$2,352.90",1820 EUCLID AVE #4,"Appliances, Electricity, Garbage, Gas, Heat, Water",10/1/2016,RENTED - Rented or Available,0,2
"$1,800.00",1820 EUCLID AVE #5,"Electricity, Garbage, Gas, Water",6/15/2017,RENTED - Rented or Available,0,1
$655.03,1820 EUCLID AVE #6,"Electricity, Gas, Storage",7/16/1996,RENTED - Rented or Available,1,0
"$2,500.00",1820 EUCLID AVE #7,"Electricity, Garbage, Gas, Water",8/1/2017,RENTED - Rented or Available,1,1
"$1,800.00",1820 EUCLID AVE #8,"Electricity, Garbage, Gas, Water",6/1/2017,RENTED - Rented or Available,1,1
"$1,950.00",1820 EUCLID AVE #9,"Electricity, Garbage, Gas, Water",6/3/2017,RENTED - Rented or Available,0,1
"$2,352.90",1820 EUCLID AVE #10,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",8/1/2016,RENTED - Rented or Available,1,2
"$1,850.00",1820 EUCLID AVE #11,"Electricity, Garbage, Gas, Water",7/15/2017,RENTED - Rented or Available,0,2
"$1,841.40",1820 EUCLID AVE #12,"Appliances, Electricity, Garbage, Gas, Heat, Water",8/15/2016,RENTED - Rented or Available,0,2
n/a,2314 10TH ST #A,(no active services),n/a,NAR - Not Available for Rent since 4/21/2009,-1,-1
n/a,2314 10TH ST #B,"Appliances, Heat, Laundry Access, Other, Parking, Storage",n/a,(~) MISC - Exempt-Misc since 8/1/2003,-1,-1
n/a,2314 10TH ST #C,"Appliances, Parking",n/a,NAR - Not Available for Rent since 7/1/2005,-1,-1
n/a,2314 10TH ST #D,"Appliances, Garbage, Parking",n/a,(~) MISC - Exempt-Misc since 11/7/2003,-1,-1
n/a,2314 10TH ST #E,"Electricity, Furnishings, Garbage, Gas, Parking, Water",n/a,(~) MISC - Exempt-Misc since 5/30/2003,-1,-1
"$1,393.93",2210 WARD ST #A,"Garbage, Laundry Access, Water",1/1/2011,RENTED - Rented or Available,1,1
"$2,040.89",2210 WARD ST #B,"Garbage, Heat, Laundry Access, Water",6/1/2016,RENTED - Rented or Available,1,1
"$2,234.00",2210 WARD ST #C,"Garbage, Heat, Laundry Access, Water",7/13/2017,RENTED - Rented or Available,1,1
"$1,416.24",2210 WARD ST #D,"Garbage, Laundry Access, Water",8/27/2010,RENTED - Rented or Available,1,2
"$3,048.00",2212 WARD ST #A,"Garbage, Heat, Laundry Access, Water",6/1/2017,RENTED - Rented or Available,2,4
"$2,061.22",2212 WARD ST #B,"Garbage, Laundry Access, Water",6/1/2014,RENTED - Rented or Available,2,2
n/a,2449 10TH ST #1,"Garbage, Parking, Water",n/a,(~) MISC - Exempt-Misc since 6/1/2010,-1,-1
n/a,2449 10TH ST #2,"Garbage, Parking, Water",n/a,(~) MISC - Exempt-Misc since 6/1/2010,-1,-1
"$2,250.60",2449 10TH ST #3,"Appliances, Garbage, Laundry Access, Parking, Water",8/23/2016,RENTED - Rented or Available,2,2
n/a,2449 10TH ST #4,"Garbage, Parking, Water",n/a,(~) MISC - Exempt-Misc since 6/1/2010,-1,-1
"$2,250.60",2449 10TH ST #5,"Appliances, Garbage, Laundry Access, Parking, Water",9/9/2016,RENTED - Rented or Available,2,2
"$1,886.81",1731 10TH ST #A,"Appliances, Garbage",10/25/2013,RENTED - Rented or Available,1,1
n/a,1731 10TH ST #B,(no active services),n/a,(~) MISC - Exempt-Misc since 7/1/2003,-1,-1
"$2,676.43",1731 10TH ST #C,"Appliances, Laundry Access, Water",7/1/2015,RENTED - Rented or Available,1,1
n/a,1731 10TH ST #D,Garbage,n/a,OOCC - Owner Occupied since 10/1/2002,-1,-1
n/a,2700 PRINCE ST #1,"Garbage, Laundry Access, Water",n/a,NAR - Not Available for Rent since 7/1/2012,-1,-1
n/a,2700 PRINCE ST #2,"Furnishings, Garbage, Water",n/a,NAR - Not Available for Rent since 5/2/2017,-1,-1
n/a,2700 PRINCE ST #3,"Appliances, Garbage, Laundry Access, Water",n/a,NAR - Not Available for Rent since 7/1/2011,-1,-1
n/a,2700 PRINCE ST #4,Garbage,n/a,NAR - Not Available for Rent since 6/1/2016,-1,-1
n/a,,(no active services),n/a,(~) MISC - Exempt-Misc since 9/5/2009,-1,-1
n/a,2842 WOOLSEY ST #1,"Furnishings, Garbage, Laundry Access, Sewer, Storage, Water",7/1/2000,"CHSFD - Single family, C-H exempt",-1,-1
n/a,2842 WOOLSEY ST #2,"Garbage, Parking, Storage, Water",n/a,OOCC - Owner Occupied since 3/1/1998,-1,-1
n/a,2842 WOOLSEY ST #3,"Garbage, Parking, Storage, Water",9/25/1996,"CHSFD - Single family, C-H exempt",-1,-1
n/a,2842 WOOLSEY ST #4,"Electricity, Garbage, Gas, Parking, Storage, Water",n/a,OOCC - Owner Occupied since 11/5/1996,-1,-1
"$1,246.29",2700 WOOLSEY ST #1,"Garbage, Parking, Water",2/27/2010,RENTED - Rented or Available,1,1
"$2,371.99",2700 WOOLSEY ST #2,"Garbage, Laundry Access, Parking, Storage, Water",11/1/2013,RENTED - Rented or Available,2,2
"$1,359.59",2700 WOOLSEY ST #3,"Garbage, Parking, Water",1/15/2010,RENTED - Rented or Available,1,1
"$2,811.82",2700 WOOLSEY ST #4,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Parking, Water",8/1/2015,RENTED - Rented or Available,2,2
n/a,3120 TELEGRAPH AVE #1,"Garbage, Water",n/a,MISC - Exempt-Misc since 6/30/1994,-1,-1
n/a,3120 TELEGRAPH AVE #2,"Appliances, Garbage, Laundry Access, Water",n/a,MISC - Exempt-Misc since 12/14/1993,-1,-1
n/a,3120 TELEGRAPH AVE #3,"Garbage, Water",n/a,MISC - Exempt-Misc since 7/1/1994,-1,-1
n/a,3120 TELEGRAPH AVE #4,"Garbage, Water",n/a,MISC - Exempt-Misc since 7/1/1994,-1,-1
"$1,245.48",3120 TELEGRAPH AVE #5,"Garbage, Water",1/15/1998,RENTED - Rented or Available,2,0
"$3,831.14",3120 TELEGRAPH AVE #6,"Garbage, Heat, Laundry Access, Water",6/1/2016,RENTED - Rented or Available,1,4
n/a,3120 TELEGRAPH AVE #7,"Garbage, Water",n/a,MISC - Exempt-Misc since 12/14/1993,-1,-1
n/a,3120 TELEGRAPH AVE #8,"Garbage, Water",n/a,MISC - Exempt-Misc since 12/14/1993,-1,-1
n/a,3120 TELEGRAPH AVE #9,"Garbage, Water",n/a,MISC - Exempt-Misc since 7/1/1994,-1,-1
n/a,3120 TELEGRAPH AVE #10,Parking,n/a,MISC - Exempt-Misc since 7/1/1994,-1,-1
n/a,3120 TELEGRAPH AVE #11,"Garbage, Water",n/a,MISC - Exempt-Misc since 1/15/1997,-1,-1
n/a,3120 TELEGRAPH AVE #12,"Garbage, Water",n/a,MISC - Exempt-Misc since 7/1/1994,-1,-1
"$1,598.89",2325 WOOLSEY ST #1,"Appliances, Garbage, Water",9/1/2008,RENTED - Rented or Available,2,2
"$1,347.72",2325 WOOLSEY ST #2,"Appliances, Garbage, Laundry Access, Water",10/1/2013,RENTED - Rented or Available,1,1
"$2,097.15",2325 WOOLSEY ST #3,"Garbage, Heat, Water",8/1/2016,RENTED - Rented or Available,1,2
"$2,040.89",2325 WOOLSEY ST #4,"Garbage, Heat, Water",8/1/2016,RENTED - Rented or Available,1,1
"$2,795.00",2325 WOOLSEY ST #5,"Garbage, Heat, Laundry Access, Water",8/1/2017,RENTED - Rented or Available,1,4
"$2,641.00",2325 WOOLSEY ST #6,"Garbage, Heat, Laundry Access, Water",8/1/2017,RENTED - Rented or Available,1,2
"$1,142.08",2325 WOOLSEY ST #7,"Appliances, Garbage, Water",3/1/2008,RENTED - Rented or Available,1,2
"$1,170.91",2325 WOOLSEY ST #8,"Appliances, Garbage, Water",5/2/2011,RENTED - Rented or Available,1,1
"$1,765.20",2325 WOOLSEY ST #9,"Appliances, Garbage, Laundry Access, Water",4/1/2015,RENTED - Rented or Available,1,1
"$2,539.00",2325 WOOLSEY ST #10,"Garbage, Heat, Laundry Access, Water",8/1/2017,RENTED - Rented or Available,1,2
"$2,051.59",2325 WOOLSEY ST #11,"Garbage, Laundry Access, Water",7/1/2015,RENTED - Rented or Available,1,2
"$1,137.63",2325 WOOLSEY ST #12,"Appliances, Garbage, Water",12/1/2005,RENTED - Rented or Available,1,2
"$1,137.63",2325 WOOLSEY ST #13,"Appliances, Garbage, Water",12/15/2005,RENTED - Rented or Available,1,1
"$1,293.81",2325 WOOLSEY ST #14,"Appliances, Garbage, Water",3/20/2013,RENTED - Rented or Available,1,1
"$2,438.00",2325 WOOLSEY ST #15,"Garbage, Heat, Laundry Access, Water",6/1/2017,RENTED - Rented or Available,1,2
"$2,654.69",2325 WOOLSEY ST #16,"Garbage, Heat, Water",8/1/2016,RENTED - Rented or Available,1,2
"$2,040.89",2325 WOOLSEY ST #17,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Parking, Water",1/4/2016,RENTED - Rented or Available,1,1
"$1,206.16",2325 WOOLSEY ST #18,"Appliances, Garbage, Water",6/4/2012,RENTED - Rented or Available,1,1
