pid,lat,lon,address,formatted_address
EigyNDI5IFdlYnN0ZXIgU3QsIEJlcmtlbGV5LCBDQSA5NDcwNSwgVVNBIhsSGQoUChIJ0QYk5tN9hYARyhkM4c4HBygQ_RI,37.8556697,-122.258621,2429 WEBSTER ST,2429 Webster St+ Berkeley+ CA 94705+ USA
EigyNDMxIFdlYnN0ZXIgU3QsIEJlcmtlbGV5LCBDQSA5NDcwNSwgVVNBIhsSGQoUChIJ0QYk5tN9hYARyhkM4c4HBygQ_xI,37.8556731,-122.2585948,2431 WEBSTER ST,2431 Webster St+ Berkeley+ CA 94705+ USA
EigyNDMzIFdlYnN0ZXIgU3QsIEJlcmtlbGV5LCBDQSA5NDcwNSwgVVNBIhsSGQoUChIJ0QYk5tN9hYARyhkM4c4HBygQgRM,37.8556766,-122.2585686,2433 WEBSTER ST,2433 Webster St+ Berkeley+ CA 94705+ USA
ChIJYUpo7tN9hYARKvRmU6MSrmc,37.855531,-122.2588529,2417 WEBSTER ST,2417 Webster St+ Berkeley+ CA 94705+ USA
EigyNDE5IFdlYnN0ZXIgU3QsIEJlcmtlbGV5LCBDQSA5NDcwNSwgVVNBIhsSGQoUChIJqS7s79N9hYARydbFdBq9oBYQ8xI,37.8553315,-122.2587912,2419 WEBSTER ST,2419 Webster St+ Berkeley+ CA 94705+ USA
ChIJ9VM7QNR9hYAR4egn6Mpb6P0,37.8552358,-122.2611571,2325 WEBSTER ST,2325 Webster St+ Berkeley+ CA 94705+ USA
ChIJu1YMQdR9hYAR9kGiFL2wvAc,37.8552577,-122.2612679,2321 WEBSTER ST,2321 Webster St+ Berkeley+ CA 94705+ USA
ChIJHS7zNmN-hYAR9-w4brm3Gi4,37.850454,-122.2771522,1528 WOOLSEY ST,1528 Woolsey St+ Berkeley+ CA 94703+ USA
ChIJdacBMDN8hYARQrTcoi6CEeA,37.862599,-122.250489,2638 WARRING ST,2638 Warring St+ Berkeley+ CA 94704+ USA
ChIJqdr6GTN8hYARRFD-GVlQlCE,37.8634505,-122.2505441,2614 WARRING ST,2614 Warring St+ Berkeley+ CA 94704+ USA
ChIJT2dmAtJ9hYARvEKIG24OC6M,37.856072,-122.254542,2609 WEBSTER ST,2609 Webster St+ Berkeley+ CA 94705+ USA
ChIJmQ5i2zN8hYARkHfOzvFQmuY,37.866337,-122.2502339,2461 WARRING ST,2461 Warring St+ Berkeley+ CA 94704+ USA
ChIJm96AwzN8hYARH4bJCWZf5jE,37.8661171,-122.250101,2467 WARRING ST,2467 Warring St+ Berkeley+ CA 94704+ USA
ChIJVc9Rv3x-hYAR-VouSYK1-zA,37.8507288,-122.2756458,1614 WOOLSEY ST,1614 Woolsey St+ Berkeley+ CA 94703+ USA
ChIJSyH8BzN8hYARjqFUahq_foA,37.8642965,-122.2504555,2546 WARRING ST,2546 Warring St+ Berkeley+ CA 94704+ USA
ChIJzcrC0TN8hYARBu8xc4y5QLc,37.8661507,-122.2507214,2450 WARRING ST,2450 Warring St+ Berkeley+ CA 94704+ USA
ChIJN7VXCTF8hYARWjPw_wHYPd0,37.8681209,-122.2508986,2330 WARRING ST,2330 Warring St+ Berkeley+ CA 94704+ USA
ChIJwR9k2TN8hYAR3Se2MlKhhmo,37.866584,-122.2502782,2437 WARRING ST,2437 Warring St+ Berkeley+ CA 94704+ USA
ChIJwQtq2DN8hYARGEnwsQAaqbY,37.8667311,-122.2503447,2433 WARRING ST,2433 Warring St+ Berkeley+ CA 94704+ USA
ChIJSTDWOjN8hYARjon7aXmG3Rc,37.8627602,-122.2503669,2636 WARRING ST,2636 Warring St+ Berkeley+ CA 94704+ USA
ChIJ3fhAYSt8hYARWl2BnX-KpLM,37.8605312,-122.2599945,2718 DANA ST,2718 Dana St+ Berkeley+ CA 94705+ USA
ChIJ8xKlZit8hYAR_necPCqbmlA,37.8605117,-122.2600937,2339 WARD ST,2339 Ward St+ Berkeley+ CA 94705+ USA
ChIJiywQnyx8hYARvBuHH7Qn88s,37.8605525,-122.2594733,2407 WARD ST,2407 Ward St+ Berkeley+ CA 94705+ USA
ChIJLQQ6nyx8hYARcZMBBTn2xh0,37.8605932,-122.2593404,2411 WARD ST,2411 Ward St+ Berkeley+ CA 94705+ USA
ChIJMencPyt8hYARdLKhrnU7KWE,37.8599123,-122.2612014,2316 WARD ST,2316 Ward St+ Berkeley+ CA 94705+ USA
ChIJxeYznix8hYAR6LdvQpNXmwk,37.8605727,-122.2596505,2401 WARD ST,2401 Ward St+ Berkeley+ CA 94705+ USA
ChIJE_sbQCt8hYARbYz0J9h191o,37.8599529,-122.2610685,2318 WARD ST,2318 Ward St+ Berkeley+ CA 94705+ USA
ChIJ7TAwMoB-hYARsck-3Reusdk,37.8593349,-122.2662528,2114 WARD ST,2114 Ward St+ Berkeley+ CA 94705+ USA
ChIJ-TqkZYZ-hYARwkZ7I8mV1Iw,37.8586744,-122.2744939,1727 WARD ST,1727 Ward St+ Berkeley+ CA 94703+ USA
EiUxNzI5IFdhcmQgU3QsIEJlcmtlbGV5LCBDQSA5NDcwMywgVVNBIhsSGQoUChIJhR9wZoZ-hYARuSX4gN-dKU4QwQ0,37.8587605,-122.2744169,1729 WARD ST,1729 Ward St+ Berkeley+ CA 94703+ USA
ChIJYWxPIzN8hYAR2Jk-mHNZpIk,37.8629565,-122.2504555,2632 WARRING ST,2632 Warring St+ Berkeley+ CA 94704+ USA
ChIJk5vIcYZ-hYAR_MMuw8JDbnE,37.8588028,-122.274804,1717 WARD ST,1717 Ward St+ Berkeley+ CA 94703+ USA
ChIJmx8ccIZ-hYARmnRQ7zex0N4,37.8587572,-122.2746489,1725 WARD ST,1725 Ward St+ Berkeley+ CA 94703+ USA
ChIJp6c_a4Z-hYAR-4DPDAi6cyI,37.8582206,-122.2752471,1704 WARD ST,1704 Ward St+ Berkeley+ CA 94703+ USA
ChIJaS4gaoZ-hYARV85ovrh4sMs,37.8581903,-122.2749812,1710 WARD ST,1710 Ward St+ Berkeley+ CA 94703+ USA
ChIJxaD1-yp8hYARovH9shfY8Xc,37.8602534,-122.2628852,2231 WARD ST,2231 Ward St+ Berkeley+ CA 94705+ USA
ChIJS5csoYh-hYARooHCO6Vx0cQ,37.857817,-122.2769306,1616 WARD ST,1616 Ward St+ Berkeley+ CA 94703+ USA
ChIJifjSESt8hYARVhNlvQ_TzJo,37.8603723,-122.2616445,2307 WARD ST,2307 Ward St+ Berkeley+ CA 94705+ USA
ChIJiYQyyY5-hYARjZs3gXV2xDA,37.8579806,-122.2806521,1437 WARD ST,1437 Ward St+ Berkeley+ CA 94702+ USA
ChIJ0cr6RZ5-hYARPnn1eNIYA_w,37.872944,-122.2672054,1930 WALNUT ST,1930 Walnut St+ Berkeley+ CA 94704+ USA
ChIJ64i5mJ9-hYARX-lVyYZegKg,37.8746419,-122.2677371,1818 WALNUT ST,1818 Walnut St+ Berkeley+ CA 94709+ USA
ChIJnWNEEit8hYAR9cb9ZsxD7es,37.8603927,-122.2613344,2319 WARD ST,2319 Ward St+ Berkeley+ CA 94705+ USA
