unit_address,tenancy_start_date,rent_ceiling,unit_status,housing_services,bed,occ
1888 BERKELEY WAY #510 ,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1888 BERKELEY WAY #512 ,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1888 BERKELEY WAY #513 ,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1888 BERKELEY WAY #514 ,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1888 BERKELEY WAY #408  ,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 BERKELEY WAY #213  ,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #201,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #202,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #203,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #204,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #205 ,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #206,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #207,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #208,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #209 ,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #210 ,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #211 ,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #212,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #213,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #214,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #215,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #216,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #217,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #218,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #219,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #220,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #221,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #301,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #302,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #303,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #304,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #305,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #306,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #307,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #308,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #309,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #310,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #311,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #312,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #313,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #314,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #315,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #316,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #317,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #318,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #319,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #320,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #321,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #401,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #402,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #403,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #404,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #405,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #406,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #407,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #408,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #409,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #410,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #411,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #412,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #413,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #414,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #415,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #416,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #417,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #418,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #419,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #420,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #421,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #501,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #502,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #503,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #504,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #505,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #506,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #507,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #508,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #509,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #510,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #511,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #512,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #513,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #514,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #515,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #516,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #517,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #518,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #519,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #520 ,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
1988 MLK JR WAY #521,n/a,n/a,<p>NEW - New Construction since 1/1/2011</p>,<p>(no active services)</p>,-1,-1
,1/6/1996,n/a,<p>MISC - Exempt-Misc</p>,"<p>Garbage, Water</p>",-1,-1
2144 CURTIS ST,3/1/2003,"$2,213.89",<p>RENTED - Rented or Available</p>,"<p>Appliances, Parking</p>",2,3
2148 CURTIS ST,n/a,n/a,<p>(~) MISC - Exempt-Misc since 9/1/1998</p>,<p>(no active services)</p>,-1,-1
1420 HOPKINS ST,n/a,n/a,<p>OOCC - Owner Occupied since 8/1/1992</p>,<p>(no active services)</p>,-1,-1
1420 HOPKINS ST #1/2,n/a,n/a,<p>OOCC - Owner Occupied since 4/15/2015</p>,"<p>Appliances, Garbage, Gas, Heat, Water</p>",-1,-1
2535 HILLEGASS AVE #1,n/a,n/a,<p>SHARED - Owner shares kit/bath since 8/16/1998</p>,"<p>Electricity, Furnishings, Garbage, Gas, Water</p>",-1,-1
2535 HILLEGASS AVE #2,n/a,n/a,<p>SHARED - Owner shares kit/bath since 8/15/1998</p>,"<p>Electricity, Furnishings, Garbage, Gas, Water</p>",-1,-1
2535 HILLEGASS AVE #3,n/a,n/a,<p>SHARED - Owner shares kit/bath since 8/16/1998</p>,"<p>Electricity, Furnishings, Garbage, Gas, Water</p>",-1,-1
2535 HILLEGASS AVE #4,n/a,n/a,<p>OOCC - Owner Occupied since 6/1/2009</p>,"<p>Electricity, Furnishings, Garbage, Gas, Water</p>",-1,-1
2535 HILLEGASS AVE #5,n/a,n/a,<p>SHARED - Owner shares kit/bath since 8/15/1998</p>,<p>(no active services)</p>,-1,-1
2535 HILLEGASS AVE #6,8/21/2015,"$1,869.34",<p>RENTED - Rented or Available</p>,<p>Appliances</p>,0,1
2535 HILLEGASS AVE #7,n/a,n/a,<p>SHARED - Owner shares kit/bath since 6/1/2009</p>,<p>Laundry Access</p>,-1,-1
2535 HILLEGASS AVE #8,8/16/2015,"$1,765.20",<p>RENTED - Rented or Available</p>,<p>Appliances</p>,0,1
2535 HILLEGASS AVE #9,12/1/2016,"$1,585.65",<p>RENTED - Rented or Available</p>,<p>Appliances</p>,0,1
2535 HILLEGASS AVE #10,n/a,$0.00,<p>RENTED - Rented or Available since 8/15/1998</p>,<p>(no active services)</p>,2,-1
1507 PRINCE ST #1,1/13/2015,"$1,484.01",<p>RENTED - Rented or Available</p>,<p>Appliances</p>,1,1
1507 PRINCE ST #2,6/15/2014,"$1,421.71",<p>RENTED - Rented or Available</p>,<p>(no active services)</p>,1,1
1507 PRINCE ST #3,11/1/2008,"$1,084.96",<p>RENTED - Rented or Available</p>,"<p>Garbage, Parking, Water</p>",1,2
1507 PRINCE ST #4,2/2/2018,"$1,725.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Garbage, Heat, Storage, Water</p>",1,2
1507 PRINCE ST #A,1/1/2018,"$3,450.00",<p>RENTED - Rented or Available</p>,<p>(no active services)</p>,5,4
3041 SACRAMENTO ST,2/15/2013,"$1,185.99",<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Gas, Heat, Water</p>",1,1
3043 SACRAMENTO ST,12/31/1995,n/a,<p>COMM - Commercial</p>,<p>(no active services)</p>,-1,-1
3045 SACRAMENTO ST,12/31/1995,n/a,<p>COMM - Commercial</p>,<p>(no active services)</p>,-1,-1
3047 SACRAMENTO ST,n/a,n/a,<p>COMM - Commercial since 11/1/2007</p>,"<p>Garbage, Parking, Water</p>",-1,-1
3049 SACRAMENTO ST,12/31/1995,n/a,<p>COMM - Commercial</p>,<p>(no active services)</p>,-1,-1
3049 SACRAMENTO ST #A,n/a,n/a,<p>(~) MISC - Exempt-Misc since 6/1/2010</p>,<p>(no active services)</p>,-1,-1
3049 SACRAMENTO ST #B,6/1/2013,"$1,482.49",<p>RENTED - Rented or Available</p>,"<p>Garbage, Parking, Sewer, Water</p>",2,4
3049 SACRAMENTO ST #C,n/a,n/a,<p>(~) MISC - Exempt-Misc since 6/1/2010</p>,"<p>Garbage, Water</p>",-1,-1
2736 DWIGHT WAY #ELR,8/17/2016,$874.67,<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Other</p>",0,1
2736 DWIGHT WAY #ERR,8/3/2015,$645.68,<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Other</p>",0,1
2736 DWIGHT WAY #ULM,6/1/2016,$726.33,<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Other</p>",0,1
2736 DWIGHT WAY #UNE,n/a,n/a,<p>(~) MISC - Exempt-Misc since 6/17/2016</p>,<p>(no active services)</p>,-1,-1
2736 DWIGHT WAY #UNW,12/16/2014,$872.06,<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Other</p>",0,1
2736 DWIGHT WAY #USE,12/16/2015,$645.68,<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Other</p>",0,1
2736 DWIGHT WAY #USW,6/15/2017,$780.00,<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access</p>",0,1
2736 DWIGHT WAY #EBED,7/15/2013,$619.96,<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Other</p>",0,1
2736 DWIGHT WAY #FFLM,6/1/2017,"$1,100.00",<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access</p>",0,2
2736 DWIGHT WAY #FFNE,5/1/2017,$785.00,<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access</p>",0,1
2736 DWIGHT WAY #FFNW,11/1/2014,$650.09,<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access</p>",0,1
2736 DWIGHT WAY #FFSE,6/1/2017,$585.00,<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access</p>",0,1
2736 DWIGHT WAY #FFSM,7/1/2016,$583.11,<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Other</p>",0,1
2736 DWIGHT WAY #FFSW,9/1/2017,$600.00,<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access</p>",0,1
1380 CURTIS ST #A,6/15/2017,"$2,800.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Parking, Storage</p>",2,1
1380 CURTIS ST #B,1/18/2011,"$2,453.32",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Parking, Storage</p>",2,1
1409 CURTIS ST,n/a,$856.26,<p>RENTED - Rented or Available since 3/20/1991</p>,"<p>Garbage, Laundry Access, Parking, Storage</p>",2,-1
1413 CURTIS ST,12/1/1996,$725.46,<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access, Parking, Storage</p>",1,0
,n/a,n/a,<p>OOCC - Owner Occupied since 12/7/1993</p>,<p>(no active services)</p>,-1,-1
1947 ROSE ST,6/1/2017,"$2,200.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",1,2
1949 ROSE ST,3/1/2017,"$2,800.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",2,1
1951 ROSE ST,10/1/2011,"$2,007.25",<p>RENTED - Rented or Available</p>,"<p>Garbage, Gas, Heat, Storage, Water</p>",2,2
1953 ROSE ST,6/1/2017,"$2,200.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",1,2
,n/a,n/a,<p>OOCC - Owner Occupied since 3/27/1991</p>,<p>(no active services)</p>,-1,-1
1382 CURTIS ST,n/a,n/a,<p>OOCC - Owner Occupied since 7/11/1990</p>,<p>(no active services)</p>,-1,-1
1386 CURTIS ST,n/a,n/a,<p>OOCC - Owner Occupied since 7/11/1990</p>,<p>(no active services)</p>,-1,-1
,n/a,n/a,<p>OOCC - Owner Occupied since 6/30/1994</p>,"<p>Furnishings, Garbage, Laundry Access, Parking, Storage, Water</p>",-1,-1
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 9/1/1996</p>","<p>Garbage, Laundry Access, Storage</p>",-1,-1
,n/a,n/a,<p>OOCC - Owner Occupied since 1/2/2002</p>,"<p>Furnishings, Garbage, Parking, Water</p>",-1,-1
1402 FAIRVIEW ST,n/a,n/a,<p>OOCC - Owner Occupied since 12/1/2001</p>,"<p>Garbage, Water</p>",-1,-1
1402 FAIRVIEW ST #1/2,1/7/2014,"$1,718.33",<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access, Water</p>",2,3
1133 SPRUCE ST,n/a,n/a,<p>OOCC - Owner Occupied since 12/14/1993</p>,"<p>Electricity, Garbage, Gas, Storage, Water</p>",-1,-1
1133 SPRUCE ST #A,9/1/2017,$950.00,<p>RENTED - Rented or Available</p>,<p>(no active services)</p>,0,1
1133 SPRUCE ST #B,n/a,$689.12,<p>RENTED - Rented or Available since 6/30/2016</p>,"<p>Electricity, Garbage, Gas, Storage, Water</p>",0,-1
1133 SPRUCE ST #C,8/1/2015,"$1,296.15",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,4,1
1133 SPRUCE ST #D,n/a,n/a,<p>NAR - Not Available for Rent since 6/30/2006</p>,"<p>Electricity, Garbage, Gas, Water</p>",-1,-1
2923 MABEL ST #A,7/15/2015,"$1,197.63",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Parking</p>",1,2
2923 MABEL ST #B,4/5/2014,"$1,057.04",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Parking, Storage</p>",1,1
2923 MABEL ST #C,9/1/2014,"$1,057.04",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Parking, Storage</p>",1,1
2923 MABEL ST #D,n/a,n/a,<p>(~) MISC - Exempt-Misc since 9/1/2014</p>,<p>Garbage</p>,-1,-1
2925 MABEL ST,n/a,n/a,<p>OOCC - Owner Occupied since 6/30/1994</p>,<p>(no active services)</p>,-1,-1
2925 MABEL ST #27-1,1/10/2014,"$1,162.74",<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Parking, Storage, Water</p>",0,1
2925 MABEL ST #27-2,3/1/2015,"$1,041.41",<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Gas, Heat, Parking, Water</p>",1,1
2675 SACRAMENTO ST,7/19/2015,"$2,082.83",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,1,2
2681 SACRAMENTO ST,6/16/2015,"$1,666.26",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,0,1
2685 SACRAMENTO ST,11/1/2012,"$1,315.80",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,0,1
2691 SACRAMENTO ST,2/8/2014,"$1,353.01",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,0,2
2695 SACRAMENTO ST,11/30/2015,"$1,488.18",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,0,2
2699 SACRAMENTO ST,3/2/2006,"$1,174.72",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,1,2
2669 LE CONTE AVE #1-A,n/a,n/a,<p>SHARED - Owner shares kit/bath since 9/15/2011</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Water</p>",-1,-1
2669 LE CONTE AVE #1-C,n/a,n/a,<p>SHARED - Owner shares kit/bath since 9/15/2011</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Water</p>",-1,-1
2669 LE CONTE AVE #1-Z,n/a,n/a,<p>OOCC - Owner Occupied since 1/19/2011</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Storage, Water</p>",-1,-1
2669 LE CONTE AVE #2-A,n/a,n/a,<p>SHARED - Owner shares kit/bath since 9/15/2011</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Water</p>",-1,-1
2669 LE CONTE AVE #2-B,n/a,n/a,<p>SHARED - Owner shares kit/bath since 9/15/2011</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Water</p>",-1,-1
2669 LE CONTE AVE #2-C,n/a,n/a,<p>SHARED - Owner shares kit/bath since 9/15/2011</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Water</p>",-1,-1
2669 LE CONTE AVE #2-D,n/a,n/a,<p>SHARED - Owner shares kit/bath since 9/15/2011</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Water</p>",-1,-1
2669 LE CONTE AVE #2-E,n/a,n/a,<p>SHARED - Owner shares kit/bath since 9/15/2011</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Water</p>",-1,-1
2669 LE CONTE AVE #3-C,n/a,n/a,<p>SHARED - Owner shares kit/bath since 9/15/2011</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Water</p>",-1,-1
2669 LE CONTE AVE #3-D,n/a,n/a,<p>SHARED - Owner shares kit/bath since 9/15/2011</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Water</p>",-1,-1
2669 LE CONTE AVE #3-E,n/a,n/a,<p>SHARED - Owner shares kit/bath since 9/15/2011</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Water</p>",-1,-1
2669 LE CONTE AVE #1-B/D,n/a,n/a,<p>SHARED - Owner shares kit/bath since 9/15/2011</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Water</p>",-1,-1
2669 LE CONTE AVE #3-A/B,n/a,n/a,<p>SHARED - Owner shares kit/bath since 9/15/2011</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Water</p>",-1,-1
1737 SAN PABLO AVE,7/1/2016,"$1,585.65",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",1,1
1739 SAN PABLO AVE,n/a,n/a,<p>(~) MISC - Exempt-Misc since 5/1/2017</p>,"<p>Garbage, Water</p>",-1,-1
1741 SAN PABLO AVE,4/1/2013,"$1,159.04",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Parking, Water</p>",1,2
1743 SAN PABLO AVE,n/a,$678.33,<p>RENTED - Rented or Available since 6/25/1988</p>,"<p>Garbage, Parking, Water</p>",1,-1
2315 HEARST AVE #1,6/16/2009,"$2,852.30",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Water</p>",4,4
2315 HEARST AVE #2,6/7/2012,"$3,837.76",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Gas, Water</p>",4,4
1502 FRANCISCO ST,7/1/2002,"$1,644.50",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,1,2
1504 FRANCISCO ST,n/a,n/a,<p>(~) MISC - Exempt-Misc since 5/1/1999</p>,"<p>Parking, Storage</p>",-1,-1
2412 RUSSELL ST,1/1/1996,$961.63,<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",1,0
2414 RUSSELL ST,8/15/2017,"$1,995.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",1,2
2416 RUSSELL ST,7/1/2013,"$1,665.78",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",1,2
2418 RUSSELL ST,9/1/2003,"$1,243.38",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Sewer, Water</p>",1,2
1405 CALIFORNIA ST,n/a,n/a,<p>(~) MISC - Exempt-Misc since 6/5/2017</p>,<p>Garbage</p>,-1,-1
1407 CALIFORNIA ST,n/a,"$1,004.94",<p>RENTED - Rented or Available since 7/1/2014</p>,<p>Garbage</p>,1,-1
2225 HEARST AVE #1,6/3/2015,"$1,223.66",<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Storage, Water</p>",0,1
2225 HEARST AVE #2,n/a,n/a,<p>OOCC - Owner Occupied since 1/1/1996</p>,<p>(no active services)</p>,-1,-1
2225 HEARST AVE #3,5/26/2015,"$1,223.66",<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Storage, Water</p>",0,1
2225 HEARST AVE #4,6/16/2015,"$1,327.80",<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Storage, Water</p>",0,1
