unit_address,tenancy_start_date,rent_ceiling,unit_status,housing_services,bed,occ
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 1/1/1999</p>","<p>Garbage, Parking, Water</p>",-1,-1
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 10/1/1997</p>","<p>Parking, Storage</p>",-1,-1
3027 HARPER ST,n/a,n/a,<p>(~) MISC - Exempt-Misc since 2/1/2015</p>,"<p>Garbage, Water</p>",-1,-1
3029 HARPER ST,2/1/2015,"$1,770.40",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Water</p>",1,2
3031 HARPER ST,5/31/1980,n/a,<p>OOCC - Owner Occupied</p>,<p>(no active services)</p>,-1,-1
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 7/1/1999</p>",<p>Garbage</p>,-1,-1
1613 OREGON ST #A,n/a,"$1,784.45",<p>RENTED - Rented or Available since 7/2/2010</p>,"<p>Appliances, Garbage, Laundry Access</p>",2,-1
1613 OREGON ST #B,n/a,$938.74,<p>RENTED - Rented or Available since 7/2/2010</p>,"<p>Appliances, Garbage</p>",2,-1
1615 OREGON ST,12/1/2016,"$3,580.50",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage</p>",3,2
,n/a,n/a,<p>(~) MISC - Exempt-Misc since 7/1/1998</p>,"<p>Laundry Access, Parking</p>",-1,-1
155 AVENIDA DR,n/a,n/a,<p>OOCC - Owner Occupied since 12/14/1993</p>,<p>(no active services)</p>,-1,-1
155 AVENIDA DR #A,n/a,n/a,<p>OOCC - Owner Occupied since 12/14/1993</p>,<p>(no active services)</p>,-1,-1
3104 HARPER ST,2/1/2017,"$1,895.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Heat, Laundry Access, Parking</p>",1,1
1818 PRINCE ST,9/8/2011,"$3,005.32",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Heat</p>",4,4
2443 CALIFORNIA ST,n/a,n/a,<p>NAR - Not Available for Rent since 12/15/2007</p>,"<p>Garbage, Water</p>",-1,-1
2445 CALIFORNIA ST,n/a,n/a,<p>OOCC - Owner Occupied since 1/1/2007</p>,"<p>Garbage, Water</p>",-1,-1
2447 CALIFORNIA ST,n/a,n/a,<p>NAR - Not Available for Rent since 10/31/2006</p>,"<p>Garbage, Water</p>",-1,-1
2449 CALIFORNIA ST,n/a,n/a,<p>OOCC - Owner Occupied since 9/15/2005</p>,"<p>Garbage, Water</p>",-1,-1
1379 CURTIS ST,12/31/1995,$0.00,<p>RENTED - Rented or Available</p>,<p>(no active services)</p>,0,0
1381 CURTIS ST,12/31/1995,$0.00,<p>RENTED - Rented or Available</p>,<p>(no active services)</p>,0,0
2531 DANA ST #1,11/1/1999,"$1,316.36",<p>RENTED - Rented or Available</p>,"<p>Laundry Access, Sewer, Water</p>",1,1
2531 DANA ST #2,9/19/2002,$918.77,<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Sewer, Water</p>",1,1
2531 DANA ST #3,5/16/2001,$887.24,<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Water</p>",1,1
2531 DANA ST #4,1/10/2003,$812.25,<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Water</p>",1,1
2531 DANA ST #5,6/1/2002,$824.14,<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Water</p>",1,1
2531 DANA ST #6,8/1/2003,$999.70,<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Water</p>",0,1
2531 DANA ST #7,6/1/2002,$981.88,<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Water</p>",1,1
2531 DANA ST #8,6/16/2001,$697.91,<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Water</p>",1,1
2 VIRGINIA GDNS,11/1/2016,"$2,864.40",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage</p>",1,1
1345 VIRGINIA ST,5/2/2015,"$2,910.75",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage</p>",1,2
1700 GRANT ST #A,n/a,n/a,<p>NAR - Not Available for Rent since 8/30/1990</p>,<p>(no active services)</p>,-1,-1
1700 GRANT ST #B,n/a,n/a,<p>OOCC - Owner Occupied since 8/30/1990</p>,<p>(no active services)</p>,-1,-1
1746 VIRGINIA ST,n/a,n/a,<p>OOCC - Owner Occupied since 8/30/1990</p>,<p>(no active services)</p>,-1,-1
2221 WOOLSEY ST,n/a,n/a,<p>OOCC - Owner Occupied since 7/1/1993</p>,<p>(no active services)</p>,-1,-1
