address,rpo
1208 SPRUCE ST,876.0150000000001
1441 WALNUT ST,959.292
2733 WOOLSEY ST,811.5060000000001
902 SPRUCE ST,1475.0
2643 FULTON ST,1133.3333333333333
2332 CEDAR ST,1239.9
1323 VIRGINIA ST,820.9466666666667
2436 CALIFORNIA ST,1155.4950000000001
1188 CARRISON ST,1048.575
2931 STANTON ST,1135.12
1635 JOSEPHINE ST,656.4285714285714
1315 DWIGHT WAY,1083.6633333333334
2237 PARKER ST,1400.0
1534 TYLER ST,1044.0600000000002
1917 9TH ST,919.995
1610 FAIRVIEW ST,826.2360000000001
1947 ROSE ST,1100.0
1926 ALCATRAZ AVE,1198.69
2207 CURTIS ST,1239.91
1824 ALLSTON WAY,2352.9
2634 ETNA ST,1271.08
2535 RIDGE RD,1064.48
2613 SACRAMENTO ST,1525.7999999999997
1320 VIRGINIA ST,754.4625
2311 9TH ST,931.23
2920 DEAKIN ST,1089.3154545454547
1815 ROSE ST,1155.605
1529 WALNUT ST,1250.0
1819 ALLSTON WAY,1779.1549999999997
2125 WEST ST,967.6299999999999
3400 CALIFORNIA ST,569.82
18 PANORAMIC WAY,2600.0
1412 NORTHSIDE AVE,1490.12
1737 WARD ST,1132.99
3108 CALIFORNIA ST,1106.87
2301 HASTE ST,1795.0
2655 VIRGINIA ST,1421.3999999999999
2126 CALIFORNIA ST,774.3933333333333
2216 ASHBY AVE,1304.39375
2237 ROOSEVELT AVE,2466.4175
835 BANCROFT WAY,604.9666666666667
2450 WARRING ST,1213.083846153846
2543 PIEDMONT AVE,1047.2366666666667
2437 SHATTUCK AVE,1077.3773913043478
1416 ADDISON ST,736.44
1307 STANNAGE AVE,1205.3899999999999
1236 HASKELL ST,671.05
2739 DWIGHT WAY,1779.455
2012 CHANNING WAY,1030.9672727272728
2246 8TH ST,1450.0
2226 DWIGHT WAY,948.0184615384616
1518 HARMON ST,1942.7233333333334
2126 DWIGHT WAY,631.4100000000001
2330 BLAKE ST,782.6523214285716
1654 DWIGHT WAY,805.1866666666666
2805 ELLSWORTH ST,631.6138461538462
2700 PIEDMONT AVE,1295.9733333333334
2418 ROOSEVELT AVE,1249.7
3158 COLLEGE AVE,1617.0149999999999
1918 CHANNING WAY,1015.8415384615387
1940 FRANCISCO ST,1229.865
1103 HOPKINS ST,741.605
1727 ALCATRAZ AVE,657.9
1518 PRINCE ST,1369.9533333333336
1330 ALCATRAZ AVE,1041.41
2429 7TH ST,808.63
1817 OXFORD ST,949.7436363636364
3030 COLLEGE AVE,4016.74
1322 SHATTUCK AVE,1422.0942857142857
933 UNIVERSITY AVE,781.0599999999998
2922 OTIS ST,1038.776
2551 HILGARD AVE,2587.62
2333 CHANNING WAY,976.670857142857
2325 CHANNING WAY,1120.782777777778
1622 RUSSELL ST,626.5875
1684 OXFORD ST,1048.575
2718 DANA ST,1069.45
1640 JULIA ST,999.11
2316 WARD ST,1393.972857142857
1130 BANCROFT WAY,560.9444
1514 OXFORD ST,975.4074999999999
1712 DWIGHT WAY,875.8645454545455
1811 DERBY ST,805.935
1702 UNIVERSITY AVE,907.0311111111112
3010 HILLEGASS AVE,941.255
1816 10TH ST,756.585
1829 ASHBY AVE,1288.5459999999998
2108 8TH ST,1126.79
2405 SACRAMENTO ST,833.6349999999999
1755 BERKELEY WAY,2100.0
1620 HARMON ST,742.6125
2417 6TH ST,871.359375
1543 MILVIA ST,2552.39
2113 HEARST AVE,800.0
1150 UNIVERSITY AVE,1081.45
2138 MCGEE AVE,794.025
2227 BROWNING ST,1212.95
2116 ESSEX ST,744.5875
2600 HILLEGASS AVE,1655.706666666667
2315 DURANT AVE,952.152
2141 ROSE ST,1350.0
2427 SPAULDING AVE,1675.0
1151 VIRGINIA ST,585.75
