name,zip,num/range,pattern,company,type,zip+4
Bonar St   ,94704,2112,, , H,94702-1867
Bonar St   ,94704,2121,, , H,94702-1800
Bonar St   ,94704,2121,, , H,94702-1800
Bonar St   ,94704,2128,, , H,94702-1868
Bonar St   ,94704,2128,, , H,94702-1868
Bonar St   ,94704,2200 to 2298,Even Only, , S,94702-1808
Bonar St   ,94704,2201,, , H,94702-1835
Bonar St   ,94704,2201,, , H,94702-1836
Bonar St   ,94704,2201,, , H,94702-1859
Bonar St   ,94704,2201 to 2299,Odd Only, , S,94702-1807
Bonar St   ,94704,2207,, , H,94702-1837
Bonar St   ,94704,2207,, , H,94702-1838
Bonar St   ,94704,2207,, , H,94702-1860
Bonar St   ,94704,2215,, , H,94702-1839
Bonar St   ,94704,2215,, , H,94702-1839
Bonar St   ,94704,2215,, , H,94702-1839
Bonar St   ,94704,2215,, , H,94702-1839
Bonar St   ,94704,2215,, , H,94702-1840
Bonar St   ,94704,2215,, , H,94702-1840
Bonar St   ,94704,2215,, , H,94702-1840
Bonar St   ,94704,2215,, , H,94702-1840
Bonar St   ,94704,2215,, , H,94702-1861
Bonar St   ,94704,2223,, , H,94702-1841
Bonar St   ,94704,2223,, , H,94702-1842
Bonar St   ,94704,2223,, , H,94702-1862
Bonar St   ,94704,2227,, , H,94702-1843
Bonar St   ,94704,2227,, , H,94702-1844
Bonar St   ,94704,2227,, , H,94702-1863
Bonar St   ,94704,2235,, , H,94702-1845
Bonar St   ,94704,2235,, , H,94702-1845
Bonar St   ,94704,2235,, , H,94702-1845
Bonar St   ,94704,2235,, , H,94702-1845
Bonar St   ,94704,2235,, , H,94702-1846
Bonar St   ,94704,2235,, , H,94702-1846
Bonar St   ,94704,2235,, , H,94702-1846
Bonar St   ,94704,2235,, , H,94702-1846
Bonar St   ,94704,2235,, , H,94702-1864
Bonar St   ,94704,2249,, , H,94702-1847
Bonar St   ,94704,2249,, , H,94702-1848
Bonar St   ,94704,2249,, , H,94702-1865
Bonar St   ,94704,2249,, , H,94702-1879
Bonar St   ,94704,2300 to 2398,Even Only, , S,94702-2019
Bonar St   ,94704,2301 to 2323,Odd Only, , S,94702-2018
Bonar St   ,94704,2325 to 2399,Odd Only, , S,94702-2060
Bonar St   ,94704,2334,, , H,94702-2061
Bonar St   ,94704,2334,, , H,94702-2061
Bonar St   ,94704,2400 to 2498,Even Only, , S,94702-2021
Bonar St   ,94704,2401 to 2439,Odd Only, , S,94702-2020
Bonar St   ,94704,2441 to 2453,Odd Only, , S,94702-2052
Bonar St   ,94704,2455 to 2499,Odd Only, , S,94702-2062
Boise St   ,94704,3200 to 3298,Even Only, , S,94702-2608
Boise St   ,94704,3201 to 3299,Odd Only, , S,94702-2607
Blake St   ,94704,1100 to 1198,Even Only, , S,94702-2003
Blake St   ,94704,1101 to 1199,Odd Only, , S,94702-2002
Blake St   ,94704,1111,, , H,94702-2045
Blake St   ,94704,1111,, , H,94702-2045
Blake St   ,94704,1116,, , H,94702-2063
Blake St   ,94704,1116,, , H,94702-2063
Blake St   ,94704,1200 to 1298,Even Only, , S,94702-2015
Blake St   ,94704,1201 to 1299,Odd Only, , S,94702-2014
Blake St   ,94704,1215,, , H,94702-2048
Blake St   ,94704,1215,, , H,94702-2048
Blake St   ,94704,1300 to 1398,Even Only, , S,94702-2114
Blake St   ,94704,1301 to 1399,Odd Only, , S,94702-2113
Blake St   ,94704,1331,, , H,94702-2165
Blake St   ,94704,1331,, , H,94702-2165
Blake St   ,94704,1400 to 1498,Even Only, , S,94702-2104
Blake St   ,94704,1401 to 1499,Odd Only, , S,94702-2103
Idaho St   ,94704,3200 to 3222,Even Only, , S,94702-2612
Idaho St   ,94704,3201 to 3235,Odd Only, , S,94702-2611
Idaho St   ,94704,3224 to 3298,Even Only, , S,94702-2627
Idaho St   ,94704,3237 to 3299,Odd Only, , S,94702-2626
Idaho St   ,94704,3300 to 3398,Even Only, , S,94702-2614
Idaho St   ,94704,3301 to 3399,Odd Only, , S,94702-2613
Hopkins St   ,94704,1100 to 1142,Even Only, , S,94702-1308
Hopkins St   ,94704,1101 to 1115,Odd Only, , S,94702-1307
Hopkins St   ,94704,1117 to 1143,Odd Only, , S,94702-1339
Hopkins St   ,94704,1127,, , H,94702-1362
Hopkins St   ,94704,1127,, , H,94702-1362
Hopkins St   ,94704,1144 to 1198,Even Only, , S,94702-1358
Hopkins St   ,94704,1145 to 1199,Odd Only, , S,94702-1359
Hopkins St   ,94704,1200 to 1202,Even Only, , S,94702-1112
Hopkins St   ,94704,1201 to 1213,Odd Only, , S,94702-1111
Hopkins St   ,94704,1204 to 1298,Even Only, , S,94702-1169
Hopkins St   ,94704,1215 to 1231,Odd Only, , S,94702-1143
Hopkins St   ,94704,1233 to 1267,Odd Only, , S,94702-1144
Hopkins St   ,94704,1252,, , H,94702-1165
Hopkins St   ,94704,1252,, , H,94702-1165
Hopkins St   ,94704,1260,, , H,94702-1100
Hopkins St   ,94704,1260,, , H,94702-1152
Hopkins St   ,94704,1260,, , H,94702-1153
Hopkins St   ,94704,1260,, , H,94702-1154
Hopkins St   ,94704,1260,, , H,94702-1155
Hopkins St   ,94704,1260,, , H,94702-1159
Hopkins St   ,94704,1260,, , H,94702-1160
Hopkins St   ,94704,1260,, , H,94702-1163
Hopkins St   ,94704,1260,, , H,94702-1170
Hopkins St   ,94704,1265,, , H,94702-1129
Hopkins St   ,94704,1265,, , H,94702-1129
Hopkins St   ,94704,1269 to 1299,Odd Only, , S,94702-1145
Hopkins St   ,94704,1290,, , H,94702-1156
Hopkins St   ,94704,1290,, , H,94702-1157
Hopkins St   ,94704,1290,, , H,94702-1158
Hopkins St   ,94704,1290,, , H,94702-1161
Hopkins St   ,94704,1290,, , H,94702-1164
Hopkins St   ,94704,1290,, , H,94702-1171
Hopkins St   ,94704,1290,, , H,94702-1174
Hopkins St   ,94704,1300,, , H,94702-1168
Hopkins St   ,94704,1300 to 1338,Even Only, , S,94702-1114
Hopkins St   ,94704,1301 to 1339,Odd Only, , S,94702-1113
Hopkins St   ,94704,1306,, , H,94702-1167
Hopkins St   ,94704,1306,, , H,94702-1167
Hopkins St   ,94704,1340 to 1398,Even Only, , S,94702-1147
